vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,Smooth price,Smooth dPricedVol1,Smooth dPricedVol2,Smooth dPricedCorr,AADC price,AADC dPricedVol1,AADC dPricedVol2,AADC dPricedCorr
0.4, 912.409, -532.277, -337.898, 94.4425, 912.644, -476.668, -326.127, 80.603, 912.886, -473.225, -325.984, 78.3637
0.41, 907.704, -456.158, -350.765, 95.5395, 907.865, -470.504, -322.011, 81.5702, 908.149, -471.611, -319.875, 79.0057
0.42, 902.703, -587.828, -329.637, 96.6181, 903.054, -498.287, -308.223, 81.8828, 903.405, -477.149, -310.194, 79.4137
0.43, 898.12, -463.085, -325.593, 97.603, 898.377, -457.58, -302.707, 82.2715, 898.704, -464.961, -302.82, 79.7702
0.44, 893.338, -414.326, -302.708, 98.5548, 893.706, -462.226, -290.907, 82.412, 894.039, -467.215, -294.459, 80.0572
0.45, 888.669, -469.352, -300.348, 99.5527, 889.042, -468.467, -285.821, 82.9091, 889.367, -465.66, -289.018, 80.5441
0.46, 884.181, -463.894, -297.233, 100.441, 884.442, -446.857, -281.13, 83.3013, 884.775, -452.58, -282.485, 80.8341
0.47, 879.681, -515.195, -277.245, 101.311, 879.936, -470.394, -264.448, 82.7619, 880.234, -459.204, -271.428, 80.719
0.48, 874.986, -478.632, -256.88, 100.828, 875.302, -459.103, -259.516, 83.2515, 875.641, -458.43, -264.911, 80.9264
0.49, 870.32, -444.507, -237.912, 101.61, 870.652, -476.651, -248.22, 82.9445, 871.013, -466.51, -256.935, 80.951
